food,area_mean,volume_mean
apple,44054.41176470588,2417018.2391579608
banana,54129.41975308642,2348766.1079557757
brinjal,26794.29090909091,756578.2667824399
capsicum,54868.117647058825,3396622.430903363
carrot,35947.72972972973,1401317.279144899
cucumber,62258.456790123455,3100848.367633234
guava,43850.6282051282,2482950.374084368
onion,29487.807228915663,1342447.7268115378
orange,38556.246913580246,2043444.4202212559
pomegranate,50987.242424242424,3011518.024244916
potato,32056.424242424244,1577273.9965948642
tomato,27751.589743589742,1251082.510463357
